,Report_No,Reported_Date,IBRS,Race,Sex,Age
42801,KC19065586,08/29/2019,220,B,M,24.0
42802,KC19056970,07/30/2019,23C,,,
42803,KC19067251,09/04/2019,13B,B,M,27.0
42804,KC19069101,09/10/2019,13A,W,F,31.0
42805,KC19055131,07/23/2019,13B,B,F,55.0
42806,KC19058261,08/04/2019,23F,B,M,37.0
42807,KC19056775,07/29/2019,90J,W,F,40.0
42808,KC19060595,08/12/2019,23F,W,M,69.0
42809,KC19066327,08/31/2019,120,,,
42810,KC19062541,08/19/2019,,W,F,24.0
42811,KC19060699,08/12/2019,90Z,W,M,26.0
42812,KC19066823,09/02/2019,120,B,M,27.0
42813,KC19063752,08/23/2019,35A,B,F,23.0
42814,KC19064342,08/25/2019,13B,B,F,33.0
42815,KC19066636,09/02/2019,13B,B,F,44.0
42816,KC19060326,08/11/2019,120,,,
42817,KC19064266,08/24/2019,220,W,F,26.0
42818,KC19063489,08/22/2019,,B,M,41.0
42819,KC19058738,08/06/2019,23C,B,F,
42820,KC19065858,08/30/2019,23C,,,
42821,KC19057624,08/01/2019,23H,,,
42822,KC19066564,09/01/2019,90C,W,M,60.0
42823,KC19069613,09/12/2019,290,W,F,40.0
42824,KC19054699,07/21/2019,,B,F,29.0
42825,KC19061172,08/14/2019,23D,B,M,37.0
42826,KC19064075,08/24/2019,290,,,
42827,KC19065997,08/30/2019,26F,W,M,42.0
42828,KC19069024,09/10/2019,290,W,F,23.0
42829,KC19062421,08/18/2019,280,,,
42830,KC19056046,07/26/2019,23G,B,M,35.0
42831,KC19055626,07/25/2019,240,B,F,40.0
42832,KC19057106,07/30/2019,220,,,
42833,KC19062574,08/19/2019,280,W,M,38.0
42834,KC19063845,08/23/2019,,B,M,40.0
42835,KC19062630,08/19/2019,35A,B,F,31.0
42836,KC19064911,08/27/2019,220,W,F,42.0
42837,KC19058871,08/06/2019,13B,,,
42838,KC19064333,08/25/2019,,B,F,59.0
42839,KC19055835,07/25/2019,,B,F,25.0
42840,KC19068933,09/10/2019,90Z,B,U,
42841,KC19061048,08/13/2019,13A,W,M,55.0
42842,KC19055798,07/25/2019,13B,B,F,52.0
42843,KC19061723,08/16/2019,220,,,
42844,KC19066488,09/01/2019,13B,B,F,50.0
42845,KC19057829,08/02/2019,13A,B,F,21.0
42846,KC19054849,07/22/2019,220,,,
42847,KC19064300,08/25/2019,35A,B,M,42.0
42848,KC19068411,09/08/2019,120,B,F,62.0
42849,KC19053935,07/18/2019,120,W,F,
42850,KC19061655,08/15/2019,,W,F,30.0
42851,KC19059316,08/07/2019,290,B,M,37.0
42852,KC19066209,08/31/2019,290,B,F,38.0
42853,KC19064793,08/26/2019,290,,,
42854,KC19056597,07/28/2019,13B,B,F,35.0
42855,KC19059556,08/08/2019,220,,,
42856,KC19062813,08/20/2019,,B,F,53.0
42857,KC19061590,08/15/2019,13B,B,F,35.0
42858,KC19062770,08/19/2019,,U,F,46.0
42859,KC19067128,09/03/2019,13B,B,F,43.0
42860,KC19062561,08/19/2019,23C,,,
42861,KC19066979,09/03/2019,23H,W,M,62.0
42862,KC19059806,08/09/2019,220,W,M,55.0
42863,KC19069175,09/11/2019,290,W,F,25.0
42864,KC19066173,08/31/2019,,W,M,35.0
42865,KC19058929,08/06/2019,,B,F,35.0
42866,KC19063450,08/22/2019,35A,W,M,56.0
42867,KC19064179,08/24/2019,,U,M,35.0
42868,KC19063295,08/21/2019,13B,W,M,
42869,KC19069748,09/12/2019,220,B,,
42870,KC19059590,08/08/2019,290,W,M,31.0
42871,KC19066757,09/02/2019,13B,B,F,34.0
42872,KC19063392,08/21/2019,13A,W,F,27.0
42873,KC19066721,09/02/2019,23H,W,M,59.0
42874,KC19055175,07/23/2019,250,B,F,21.0
42875,KC19054138,07/19/2019,120,B,M,55.0
42876,KC19058842,08/06/2019,23F,W,F,20.0
42877,KC19065908,08/30/2019,220,,,
42878,KC19058871,08/06/2019,90J,B,M,20.0
42879,KC19061047,08/13/2019,23D,W,M,31.0
42880,KC19062998,08/20/2019,280,W,F,23.0
42881,KC19067913,09/06/2019,26F,B,F,18.0
42882,KC19053678,07/18/2019,11B,W,F,
42883,KC19067708,09/05/2019,13A,B,F,21.0
42884,KC19066619,09/02/2019,23F,W,M,24.0
42885,KC19069890,09/13/2019,90Z,W,F,44.0
42886,KC19060772,08/13/2019,90J,W,M,47.0
42887,KC19063140,08/21/2019,120,,,
42888,KC19056929,07/30/2019,23D,W,M,26.0
42889,KC19062732,08/19/2019,,B,M,47.0
42890,KC19065257,08/28/2019,23G,W,F,50.0
42891,KC19053742,07/18/2019,290,B,M,18.0
42892,KC19054253,07/19/2019,13A,W,M,
42893,KC19059346,08/07/2019,13B,W,F,50.0
42894,KC19055990,07/26/2019,26B,W,M,52.0
42895,KC19064480,08/25/2019,13A,U,F,83.0
42896,KC19054331,07/20/2019,120,,,
42897,KC19054515,07/21/2019,290,B,M,23.0
42898,KC19059357,08/08/2019,23G,W,M,53.0
42899,KC19061340,08/14/2019,,W,F,39.0
42900,KC19059886,08/09/2019,23G,U,F,29.0
42901,KC19066652,09/02/2019,290,W,F,25.0
42902,KC19054193,07/19/2019,13B,B,M,46.0
42903,KC19060448,08/11/2019,280,W,F,45.0
42904,KC19061773,08/16/2019,,W,F,29.0
42905,KC19054682,07/21/2019,290,B,F,23.0
42906,KC19063919,08/23/2019,23D,W,M,33.0
42907,KC19067216,09/04/2019,23F,B,M,38.0
42908,KC19060835,08/13/2019,,W,M,41.0
42909,KC19059433,08/08/2019,290,B,F,20.0
42910,KC19064008,08/23/2019,13A,B,M,31.0
42911,KC19061796,08/16/2019,13B,W,M,29.0
42912,KC19055825,07/25/2019,,W,M,47.0
42913,KC19065783,08/29/2019,23D,B,F,60.0
42914,KC19058125,08/03/2019,13B,B,M,31.0
42915,KC19067598,09/05/2019,250,B,F,29.0
42916,KC19067385,09/04/2019,23C,,,
42917,KC19057060,07/30/2019,220,W,M,24.0
42918,KC19064283,08/24/2019,90Z,B,F,41.0
42919,KC19060816,08/13/2019,23H,B,F,23.0
42920,KC19061380,08/14/2019,,B,M,36.0
42921,KC19064524,08/25/2019,13B,B,M,53.0
42922,KC19059767,08/09/2019,23C,,,
42923,KC19069406,09/11/2019,13B,W,F,
42924,KC19062557,08/19/2019,,W,M,
42925,KC19055561,07/25/2019,13B,B,F,18.0
42926,KC19064715,08/26/2019,23D,W,M,72.0
42927,KC19065299,08/28/2019,,B,F,64.0
42928,KC19068445,09/08/2019,,W,F,30.0
42929,KC19055837,07/25/2019,,B,F,
42930,KC19059324,08/07/2019,240,W,M,27.0
42931,KC19068304,09/07/2019,120,B,F,48.0
42932,KC19069782,09/13/2019,290,B,F,28.0
42933,KC19067504,09/05/2019,,W,M,41.0
42934,KC19055794,07/25/2019,13A,B,M,58.0
42935,KC19062878,08/20/2019,90Z,,,
42936,KC19056554,07/28/2019,13A,B,M,64.0
42937,KC19055997,07/26/2019,,W,M,46.0
42938,KC19064158,08/24/2019,290,B,F,33.0
42939,KC19059159,08/07/2019,13B,B,F,
42940,KC19058182,08/03/2019,13B,W,M,50.0
42941,KC19066053,08/30/2019,,U,U,
42942,KC19053766,07/18/2019,13A,B,M,59.0
42943,KC19062675,08/19/2019,,,F,54.0
42944,KC19062935,08/20/2019,13A,W,M,63.0
42945,KC19065350,08/28/2019,220,W,M,56.0
42946,KC19068735,09/09/2019,13B,W,M,36.0
42947,KC19060721,08/12/2019,240,B,M,63.0
42948,KC19054690,07/21/2019,13A,B,M,27.0
42949,KC19061752,08/16/2019,23G,B,F,40.0
42950,KC19065362,08/28/2019,90Z,W,M,
42951,KC19069249,09/11/2019,13A,B,M,
42952,KC19067971,09/06/2019,26B,W,M,36.0
42953,KC19056209,07/27/2019,280,,,
42954,KC19066166,08/31/2019,23H,B,M,55.0
42955,KC19060025,08/10/2019,23F,U,M,40.0
42956,KC19066825,09/02/2019,,W,M,45.0
42957,KC19055596,07/25/2019,13C,U,F,40.0
42958,KC19058408,08/04/2019,23F,W,M,26.0
42959,KC19056775,07/29/2019,520,W,F,40.0
42960,KC19063721,08/22/2019,13B,B,F,29.0
42961,KC19063411,08/21/2019,13C,U,M,64.0
42962,KC19061818,08/16/2019,,,,
42963,KC19057729,08/01/2019,23H,W,M,
42964,KC19065760,08/29/2019,26A,W,M,30.0
42965,KC19062895,08/20/2019,,W,F,51.0
42966,KC19063640,08/22/2019,13B,W,M,42.0
42967,KC19061634,08/15/2019,250,B,F,32.0
42968,KC19062759,08/19/2019,13B,W,M,29.0
42969,KC19069357,09/11/2019,220,,U,
42970,KC19054455,07/20/2019,13A,W,M,41.0
42971,KC19053978,07/19/2019,,W,F,40.0
42972,KC19056161,07/27/2019,220,U,M,99.0
42973,KC19068539,09/08/2019,,B,F,25.0
42974,KC19058112,08/03/2019,35A,W,M,31.0
42975,KC19065973,08/30/2019,23D,W,F,58.0
42976,KC19058473,08/05/2019,13B,B,M,26.0
42977,KC19059356,08/08/2019,90J,B,M,38.0
42978,KC19068688,09/09/2019,26A,W,M,72.0
42979,KC19064233,08/24/2019,23C,,,
42980,KC19058542,08/05/2019,23F,,,
42981,KC19064945,08/27/2019,240,B,M,60.0
42982,KC19059862,08/09/2019,240,W,M,31.0
42983,KC19063458,08/22/2019,90Z,B,M,28.0
42984,KC19067101,09/03/2019,13B,B,M,59.0
42985,KC19060807,08/13/2019,,B,M,31.0
42986,KC19058289,08/04/2019,120,B,M,
42987,KC19060229,08/10/2019,220,B,F,24.0
42988,KC19069220,09/11/2019,290,B,F,18.0
42989,KC19053753,07/18/2019,23D,W,M,30.0
42990,KC19063882,08/23/2019,,B,F,36.0
42991,KC19054388,07/20/2019,120,W,M,
42992,KC19066533,09/01/2019,90J,,,
42993,KC19063574,08/22/2019,90J,W,M,35.0
42994,KC19068918,09/10/2019,,B,F,28.0
42995,KC19061421,08/15/2019,23F,W,F,49.0
42996,KC19061271,08/14/2019,290,,,
42997,KC19068598,09/09/2019,23D,B,M,46.0
42998,KC19053706,07/18/2019,520,W,M,54.0
42999,KC19057611,08/01/2019,90J,U,F,27.0
43000,KC19063668,08/22/2019,13B,B,M,28.0
43001,KC19067105,09/03/2019,,W,M,33.0
43002,KC19054254,07/20/2019,35B,W,M,32.0
43003,KC19060886,08/13/2019,23G,W,F,25.0
43004,KC19057368,07/31/2019,13A,W,M,79.0
43005,KC19057025,07/30/2019,23D,U,M,41.0
43006,KC19067457,09/05/2019,13B,B,M,54.0
43007,KC19068342,09/08/2019,120,W,M,36.0
43008,KC19068397,09/08/2019,290,,,
43009,KC19067560,09/05/2019,13A,W,F,29.0
43010,KC19056020,07/26/2019,90F,W,M,40.0
43011,KC19061084,08/14/2019,13B,W,F,36.0
43012,KC19064306,08/25/2019,220,U,M,30.0
43013,KC19055321,07/24/2019,,W,M,43.0
43014,KC19060801,08/13/2019,,W,M,25.0
43015,KC19063761,08/23/2019,220,B,M,
43016,KC19054890,07/22/2019,290,,,
43017,KC19063776,08/23/2019,23F,B,M,
43018,KC19059607,08/08/2019,220,W,M,22.0
43019,KC19060067,08/10/2019,13A,W,M,53.0
43020,KC19058970,08/06/2019,13C,W,F,39.0
43021,KC19064224,08/24/2019,13A,B,M,25.0
43022,KC19059914,08/09/2019,90J,,,
43023,KC19069482,09/12/2019,120,W,M,51.0
43024,KC19066433,09/01/2019,26B,W,F,36.0
43025,KC19057899,08/02/2019,,W,M,19.0
43026,KC19054770,07/22/2019,290,B,M,39.0
43027,KC19068655,09/09/2019,290,U,M,18.0
43028,KC19068204,09/07/2019,90Z,W,F,34.0
43029,KC19055953,07/26/2019,90Z,W,F,20.0
43030,KC19056684,07/29/2019,13B,B,F,50.0
43031,KC19069595,09/12/2019,23D,W,F,33.0
43032,KC19069455,09/11/2019,,W,F,39.0
43033,KC19065040,08/27/2019,23C,W,M,34.0
43034,KC19062677,08/19/2019,23D,B,F,29.0
43035,KC19053804,07/18/2019,90F,W,F,20.0
43036,KC19057763,08/02/2019,13A,I,M,23.0
43037,KC19066746,09/02/2019,23F,B,F,49.0
43038,KC19060423,08/11/2019,90Z,W,F,50.0
43039,KC19067450,09/04/2019,,B,M,34.0
43040,KC19055628,07/25/2019,,W,M,47.0
43041,KC19066020,08/30/2019,,B,F,20.0
43042,KC19064422,08/24/2019,,B,F,41.0
43043,KC19064569,08/26/2019,35A,B,F,30.0
43044,KC19066334,08/31/2019,240,W,M,52.0
43045,KC19056122,07/26/2019,13B,B,F,58.0
43046,KC19062695,08/19/2019,240,W,F,25.0
43047,KC19060938,08/13/2019,13A,W,M,57.0
43048,KC19064403,08/25/2019,90Z,,,
43049,KC19056583,07/28/2019,90Z,B,F,28.0
43050,KC19069137,09/11/2019,35A,B,M,31.0
43051,KC19055719,07/25/2019,,W,M,51.0
43052,KC19057187,07/30/2019,13B,W,M,44.0
43053,KC19062907,08/20/2019,290,B,M,44.0
43054,KC19066047,08/30/2019,13A,B,F,26.0
43055,KC19067616,09/05/2019,13B,W,F,53.0
43056,KC19062710,08/19/2019,220,B,M,
43057,KC19062787,08/19/2019,220,W,M,60.0
43058,KC19062637,08/19/2019,280,,,
43059,KC19066413,09/01/2019,220,W,F,29.0
43060,KC19068084,09/07/2019,13A,B,F,20.0
43061,KC19058789,08/06/2019,220,,,
43062,KC19055565,07/25/2019,290,B,F,50.0
43063,KC19053869,07/18/2019,23C,,,
43064,KC19060210,08/10/2019,290,W,M,20.0
43065,KC19069702,09/12/2019,13A,B,M,60.0
43066,KC19056665,07/29/2019,13A,B,M,47.0
43067,KC19062482,08/19/2019,,W,M,41.0
43068,KC19055704,07/25/2019,240,B,M,38.0
43069,KC19062101,08/17/2019,13C,W,F,24.0
43070,KC19064856,08/27/2019,240,W,M,46.0
43071,KC19055848,07/25/2019,23F,W,F,39.0
43072,KC19056099,07/26/2019,23G,W,F,
43073,KC19059468,08/08/2019,220,,,
43074,KC19058568,08/05/2019,290,B,F,21.0
43075,KC19064781,08/26/2019,290,B,F,55.0
43076,KC19065410,08/28/2019,270,B,F,18.0
43077,KC19065502,08/29/2019,120,W,M,33.0
43078,KC19063176,08/21/2019,13C,,,
43079,KC19060382,08/11/2019,23C,,,
43080,KC19057147,07/30/2019,23C,B,M,18.0
43081,KC19065623,08/29/2019,220,B,F,43.0
43082,KC19055882,07/26/2019,13B,W,F,49.0
43083,KC19058439,08/04/2019,13B,W,M,
43084,KC19062165,08/17/2019,13C,B,M,20.0
43085,KC19062926,08/20/2019,280,B,M,27.0
43086,KC19069158,09/11/2019,220,,M,51.0
43087,KC19066593,09/02/2019,13A,B,M,64.0
43088,KC19065521,08/29/2019,23F,,,
43089,KC19055375,07/24/2019,13B,W,F,33.0
43090,KC19055969,07/26/2019,23C,,,
43091,KC19056448,07/28/2019,290,B,M,42.0
43092,KC19065185,08/27/2019,,B,M,27.0
43093,KC19058801,08/06/2019,35A,W,F,34.0
43094,KC19054341,07/20/2019,09A,B,F,22.0
43095,KC19056485,07/28/2019,90Z,W,F,36.0
43096,KC19056116,07/26/2019,,W,M,35.0
43097,KC19058645,08/05/2019,23D,B,F,48.0
43098,KC19063518,08/22/2019,35A,,M,29.0
43099,KC19067339,09/04/2019,90J,,,
43100,KC19061466,08/15/2019,,,,
43101,KC19062717,08/19/2019,90Z,B,F,48.0
43102,KC19063220,08/21/2019,240,B,M,38.0
43103,KC19056953,07/30/2019,,W,M,43.0
43104,KC19066703,09/02/2019,290,W,M,24.0
43105,KC19055890,07/26/2019,,W,M,26.0
43106,KC19057700,08/01/2019,13A,W,M,30.0
43107,KC19061103,08/14/2019,290,,,
43108,KC19061231,08/14/2019,90Z,W,M,
43109,KC19059723,08/09/2019,290,,,
43110,KC19068505,09/08/2019,23C,,,
43111,KC19054619,07/21/2019,13B,W,F,27.0
43112,KC19063397,08/21/2019,23C,,,
43113,KC19068653,09/09/2019,240,W,M,27.0
43114,KC19069097,09/10/2019,13B,B,F,30.0
43115,KC19068705,09/09/2019,13B,B,M,29.0
43116,KC19059140,08/07/2019,23H,W,M,60.0
43117,KC19058025,08/02/2019,13B,U,M,
43118,KC19055064,07/23/2019,120,W,M,65.0
43119,KC19061135,08/14/2019,,B,F,19.0
43120,KC19055282,07/24/2019,,B,F,57.0
43121,KC19059745,08/09/2019,13C,,,
43122,KC19062315,08/18/2019,240,W,F,
43123,KC19066801,09/02/2019,13B,,M,44.0
43124,KC19054541,07/21/2019,13C,W,M,26.0
43125,KC19069553,09/12/2019,,B,M,61.0
43126,KC19063623,08/22/2019,13B,W,M,50.0
43127,KC19060484,08/12/2019,,W,M,19.0
43128,KC19053991,07/19/2019,23G,W,F,
43129,KC19066392,09/01/2019,290,B,M,22.0
43130,KC19064010,08/23/2019,90F,W,M,
43131,KC19059433,08/08/2019,290,U,F,27.0
43132,KC19057329,07/31/2019,,W,M,48.0
43133,KC19056282,07/27/2019,13A,B,F,61.0
43134,KC19064010,08/23/2019,90F,W,F,
43135,KC19059507,08/08/2019,23C,B,M,
43136,KC19056717,07/29/2019,,W,F,27.0
43137,KC19059783,08/09/2019,13A,B,M,
43138,KC19065302,08/28/2019,23H,B,M,52.0
43139,KC19061405,08/15/2019,,U,M,
43140,KC19067817,09/06/2019,,I,F,48.0
43141,KC19060099,08/10/2019,,W,M,18.0
43142,KC19069000,09/10/2019,,W,M,29.0
43143,KC19064377,08/25/2019,23F,W,M,56.0
43144,KC19057067,07/30/2019,,W,M,27.0
43145,KC19053675,07/17/2019,,W,M,38.0
43146,KC19055018,07/23/2019,23D,B,F,58.0
43147,KC19065988,08/30/2019,,B,M,
43148,KC19058210,08/03/2019,23C,B,M,
43149,KC19063142,08/21/2019,13A,B,F,35.0
43150,KC19067413,09/04/2019,23C,W,M,39.0
43151,KC19056911,07/30/2019,,B,M,26.0
43152,KC19064961,08/27/2019,90C,,,
43153,KC19065135,08/27/2019,,B,F,64.0
43154,KC19057160,07/30/2019,280,W,M,34.0
43155,KC19061585,08/15/2019,26F,W,F,36.0
43156,KC19056375,07/28/2019,,W,F,38.0
43157,KC19060678,08/12/2019,90Z,W,F,61.0
43158,KC19056841,07/29/2019,23C,,,
43159,KC19054572,07/21/2019,280,W,F,30.0
43160,KC19060159,08/10/2019,,W,F,23.0
43161,KC19063095,08/20/2019,,B,M,31.0
43162,KC19059485,08/08/2019,23H,W,F,
43163,KC19069307,09/11/2019,,U,F,
43164,KC19060897,08/13/2019,220,B,F,36.0
43165,KC19063735,08/22/2019,90Z,B,M,30.0
43166,KC19059400,08/08/2019,240,B,M,34.0
43167,KC19066622,09/02/2019,13B,B,F,31.0
43168,KC19054300,07/20/2019,26A,W,M,43.0
43169,KC19058278,08/04/2019,290,W,F,32.0
43170,KC19058108,08/03/2019,240,W,M,73.0
43171,KC19054843,07/22/2019,120,B,M,36.0
43172,KC19069562,09/12/2019,,W,M,60.0
43173,KC19061450,08/15/2019,,B,M,22.0
43174,KC19062649,08/19/2019,280,B,M,22.0
43175,KC19058926,08/06/2019,23F,W,M,40.0
43176,KC19058627,08/05/2019,23C,B,M,
43177,KC19062229,08/17/2019,,W,M,
43178,KC19067576,09/05/2019,13A,W,M,58.0
43179,KC19059118,08/07/2019,,W,M,30.0
43180,KC19062199,08/17/2019,13B,W,F,31.0
43181,KC19060740,08/12/2019,,,,
43182,KC19056811,07/29/2019,23C,,,
43183,KC19067875,09/06/2019,90F,B,M,
43184,KC19062061,08/17/2019,23G,W,F,40.0
43185,KC19060617,08/12/2019,,B,F,39.0
43186,KC19055574,07/25/2019,13A,B,M,55.0
43187,KC19059143,08/07/2019,26E,,,
43188,KC19067995,09/06/2019,11D,B,F,
43189,KC19064216,08/24/2019,,B,M,49.0
43190,KC19069512,09/12/2019,23F,W,F,41.0
43191,KC19056698,07/29/2019,23C,,,
43192,KC19053958,07/19/2019,290,,,
43193,KC19066535,09/01/2019,220,W,F,33.0
43194,KC19055078,07/23/2019,13B,B,F,
43195,KC19062389,08/18/2019,13A,B,F,29.0
43196,KC19068922,09/10/2019,,W,M,22.0
43197,KC19066870,09/03/2019,120,B,M,31.0
43198,KC19054526,07/21/2019,290,W,M,21.0
43199,KC19057116,07/30/2019,23C,,,
43200,KC19069226,09/11/2019,,W,M,21.0
43201,KC19054530,07/21/2019,23F,W,M,69.0
43202,KC19055777,07/25/2019,,B,F,33.0
43203,KC19055416,07/24/2019,290,B,F,24.0
43204,KC19056415,07/28/2019,,B,F,28.0
43205,KC19055741,07/25/2019,,B,M,34.0
43206,KC19065009,08/27/2019,35A,B,M,59.0
43207,KC19065746,08/29/2019,,B,M,31.0
43208,KC19066700,09/02/2019,23G,,,
43209,KC19063209,08/21/2019,13B,B,M,19.0
43210,KC19054981,07/23/2019,,W,F,26.0
43211,KC19063333,08/21/2019,23C,B,M,41.0
43212,KC19066767,09/02/2019,90Z,W,M,29.0
43213,KC19062066,08/17/2019,280,W,M,53.0
43214,KC19068908,09/10/2019,,,F,44.0
43215,KC19055093,07/23/2019,13B,B,F,44.0
43216,KC19059618,08/08/2019,13A,W,M,
43217,KC19061520,08/15/2019,,B,M,38.0
43218,KC19055788,07/25/2019,13A,U,U,
43219,KC19063918,08/23/2019,23C,,,
43220,KC19061832,08/16/2019,90F,B,F,48.0
43221,KC19058777,08/06/2019,13A,W,F,
43222,KC19053823,07/18/2019,23F,W,F,
43223,KC19059198,08/07/2019,90C,W,M,33.0
43224,KC19058011,08/03/2019,90D,W,F,25.0
43225,KC19065676,08/29/2019,26F,W,F,70.0
43226,KC19067786,09/06/2019,23F,W,M,32.0
43227,KC19056557,07/28/2019,13A,B,M,25.0
43228,KC19060567,08/12/2019,23G,W,F,53.0
43229,KC19056870,07/29/2019,290,B,F,59.0
43230,KC19059174,08/07/2019,13B,W,M,25.0
43231,KC19062502,08/19/2019,240,W,M,60.0
43232,KC19067854,09/06/2019,290,,,
43233,KC19065007,08/27/2019,,,,
43234,KC19055032,07/23/2019,23C,B,M,
43235,KC19061607,08/15/2019,280,W,F,61.0
43236,KC19062443,08/18/2019,90D,B,M,53.0
43237,KC19068016,09/06/2019,13B,B,F,28.0
43238,KC19064618,08/26/2019,23F,,,
43239,KC19063236,08/21/2019,13A,B,F,28.0
43240,KC19053945,07/18/2019,90J,,,
43241,KC19065097,08/27/2019,23C,,,
43242,KC19060534,08/12/2019,,B,M,38.0
43243,KC19054026,07/19/2019,26B,,,
43244,KC19065473,08/28/2019,23G,W,F,24.0
43245,KC19069071,09/10/2019,13A,B,F,52.0
43246,KC19061810,08/16/2019,280,W,M,67.0
43247,KC19063668,08/22/2019,13B,B,F,28.0
43248,KC19059633,08/08/2019,13B,B,F,50.0
43249,KC19067017,09/03/2019,240,,,
43250,KC19069232,09/11/2019,290,W,M,53.0
43251,KC19053672,07/17/2019,13B,B,M,61.0
43252,KC19054162,07/19/2019,,W,M,
43253,KC19067164,09/04/2019,13B,B,F,40.0
43254,KC19064431,08/25/2019,220,W,M,30.0
43255,KC19053583,07/17/2019,240,,M,
43256,KC19055214,07/23/2019,26E,B,F,23.0
43257,KC19060120,08/10/2019,90Z,B,,
43258,KC19058395,08/04/2019,26A,W,M,19.0
43259,KC19066804,09/02/2019,13B,W,F,43.0
43260,KC19064557,08/25/2019,,B,M,
43261,KC19060620,08/12/2019,13B,B,M,21.0
43262,KC19058192,08/03/2019,35A,B,M,32.0
43263,KC19068767,09/09/2019,13A,B,F,53.0
43264,KC19063373,08/21/2019,,B,F,26.0
43265,KC19061660,08/15/2019,280,W,M,53.0
43266,KC19056146,07/27/2019,,B,M,50.0
43267,KC19061382,08/15/2019,90Z,W,M,
43268,KC19065570,08/29/2019,23C,,,
43269,KC19060311,08/11/2019,,W,M,27.0
43270,KC19058551,08/05/2019,23D,,,
43271,KC19067115,09/03/2019,23D,B,M,48.0
43272,KC19057516,08/01/2019,13C,B,F,27.0
43273,KC19054640,07/21/2019,290,B,M,26.0
43274,KC19066910,09/03/2019,240,W,M,45.0
43275,KC19053834,07/18/2019,90J,,,
43276,KC19068964,09/10/2019,13B,W,M,22.0
43277,KC19057996,08/02/2019,23C,B,M,
43278,KC19067684,09/05/2019,35A,B,M,58.0
43279,KC19066029,08/30/2019,13B,W,F,26.0
43280,KC19055593,07/25/2019,13B,W,F,38.0
43281,KC19062884,08/20/2019,23G,W,M,65.0
43282,KC19067748,09/05/2019,35A,B,F,28.0
43283,KC19061628,08/15/2019,26F,B,F,18.0
43284,KC19056318,07/27/2019,13B,B,M,25.0
43285,KC19058911,08/06/2019,23H,W,F,69.0
43286,KC19055254,07/23/2019,13B,W,M,36.0
43287,KC19068526,09/09/2019,23C,,,
43288,KC19056402,07/28/2019,90Z,W,F,30.0
43289,KC19064823,08/26/2019,23F,W,F,42.0
43290,KC19065899,08/30/2019,90Z,W,M,30.0
43291,KC19066354,08/31/2019,13A,B,F,27.0
43292,KC19068593,09/09/2019,290,B,F,58.0
43293,KC19064601,08/26/2019,35A,B,M,
43294,KC19063055,08/20/2019,280,B,M,
43295,KC19057096,07/30/2019,240,,,
43296,KC19069715,09/12/2019,35A,W,M,42.0
43297,KC19066657,09/02/2019,23F,W,M,19.0
43298,KC19054301,07/20/2019,290,B,M,22.0
43299,KC19058331,08/04/2019,23H,B,F,37.0
43300,KC19066960,09/03/2019,,B,M,61.0
43301,KC19063032,08/20/2019,,,,
43302,KC19053915,07/18/2019,280,W,F,32.0
43303,KC19065659,08/29/2019,23H,W,F,55.0
43304,KC19058724,08/05/2019,26F,U,U,
43305,KC19069843,09/13/2019,290,B,M,51.0
43306,KC19060550,08/12/2019,23F,W,M,40.0
43307,KC19056404,07/28/2019,290,B,F,30.0
43308,KC19057597,08/01/2019,290,B,F,27.0
43309,KC19054102,07/19/2019,23C,,,
43310,KC19066592,09/02/2019,13A,B,M,
43311,KC19064632,08/26/2019,,W,M,36.0
43312,KC19060648,08/12/2019,,B,M,25.0
43313,KC19058023,08/03/2019,13B,B,M,35.0
43314,KC19067086,09/03/2019,220,W,F,25.0
43315,KC19064210,08/24/2019,23H,B,M,46.0
43316,KC19067540,09/05/2019,,,,
43317,KC19062472,08/18/2019,,W,F,27.0
43318,KC19066525,09/01/2019,13B,B,F,37.0
43319,KC19056621,07/29/2019,13C,U,F,28.0
43320,KC19054439,07/20/2019,23C,,,
43321,KC19053617,07/17/2019,23C,W,F,23.0
43322,KC19062349,08/18/2019,120,B,M,22.0
43323,KC19062328,08/18/2019,23D,B,F,61.0
43324,KC19054236,07/19/2019,90C,W,M,19.0
43325,KC19058663,08/05/2019,90C,B,F,32.0
43326,KC19064775,08/26/2019,90J,W,M,53.0
43327,KC19057453,07/31/2019,220,B,F,32.0
43328,KC19066154,08/31/2019,220,B,M,28.0
43329,KC19054565,07/21/2019,23C,B,F,30.0
43330,KC19055278,07/23/2019,,W,M,58.0
43331,KC19058432,08/04/2019,,B,M,37.0
43332,KC19054005,07/19/2019,13A,W,M,25.0
43333,KC19058809,08/06/2019,90J,,,
43334,KC19057541,08/01/2019,240,W,M,78.0
43335,KC19059596,08/08/2019,13A,B,F,
43336,KC19063357,08/21/2019,240,B,F,42.0
43337,KC19056331,07/27/2019,120,W,F,
43338,KC19061854,08/16/2019,13A,W,M,
43339,KC19065418,08/28/2019,23G,U,F,23.0
43340,KC19060082,08/10/2019,,B,M,22.0
43341,KC19063637,08/22/2019,240,B,F,53.0
43342,KC19058069,08/03/2019,290,B,M,
43343,KC19056300,07/27/2019,,B,F,23.0
43344,KC19064089,08/24/2019,520,B,M,26.0
43345,KC19062283,08/18/2019,220,,,
43346,KC19067981,09/06/2019,13A,B,F,20.0
43347,KC19060920,08/13/2019,,B,F,28.0
43348,KC19057567,08/01/2019,13A,B,M,65.0
43349,KC19059438,08/08/2019,240,W,M,83.0
43350,KC19061874,08/16/2019,90J,,,
