,Report_No,Reported_Date,IBRS,Race,Sex,Age
476,KC19074745,09/30/2019,90Z,B,M,25.0
477,KC19074851,09/30/2019,90J,W,F,58.0
478,KC19048139,06/28/2019,,B,M,
479,KC19042988,06/09/2019,,W,M,37.0
480,KC19075406,10/02/2019,,,M,29.0
481,KC19075451,10/02/2019,220,,,
482,KC19044230,06/13/2019,,W,F,
483,KC19075510,10/02/2019,35A,,,
484,KC19075853,10/03/2019,,B,M,60.0
485,KC19075934,10/03/2019,,B,F,48.0
486,KC19076064,10/04/2019,,W,M,37.0
487,KC19076107,10/04/2019,240,W,M,18.0
488,KC19049069,07/01/2019,23C,,,
489,KC19076263,10/05/2019,,B,F,
490,KC19076294,10/05/2019,,B,M,28.0
491,KC19076337,10/05/2019,23F,W,F,26.0
492,KC19047921,06/27/2019,,W,M,74.0
493,KC19076532,10/06/2019,,W,F,23.0
494,KC19076692,10/06/2019,11B,B,M,
495,KC19076804,09/25/2019,,U,U,
496,KC19076838,10/07/2019,,B,F,64.0
497,KC19077160,10/08/2019,,W,M,22.0
498,KC19077255,10/08/2019,,B,M,44.0
499,KC19077335,10/08/2019,,W,M,42.0
500,KC19077349,10/08/2019,,B,M,39.0
501,KC19077433,10/09/2019,240,U,F,
502,KC19077538,10/09/2019,23D,W,M,39.0
503,KC19077565,10/09/2019,23H,W,M,34.0
504,KC19077697,10/10/2019,240,,,
505,KC19077743,10/10/2019,240,B,M,49.0
506,KC19078063,10/11/2019,280,B,F,52.0
507,KC19078109,10/11/2019,,,,
508,KC19078175,10/11/2019,,W,M,
509,KC19078332,10/12/2019,,W,M,22.0
510,KC19038216,05/23/2019,13B,W,M,51.0
511,KC19045463,06/18/2019,90C,B,M,39.0
512,KC19078837,10/14/2019,,W,M,66.0
513,KC19046068,06/20/2019,,B,M,51.0
514,KC19078998,10/14/2019,290,B,F,39.0
515,KC19039878,05/30/2019,13B,W,M,48.0
516,KC19040991,06/03/2019,,B,M,58.0
517,KC19041331,06/04/2019,,B,M,44.0
518,KC19079612,10/16/2019,,B,F,30.0
519,KC19079783,10/17/2019,13A,B,M,22.0
520,KC19049075,07/01/2019,23C,,,
521,KC19079904,10/17/2019,120,W,F,27.0
522,KC19039176,05/27/2019,,,F,47.0
523,KC19080415,10/19/2019,280,,,
524,KC19080612,10/20/2019,,,,
525,KC19080945,10/21/2019,,B,M,42.0
526,KC19080977,10/21/2019,,B,M,48.0
527,KC19081047,10/22/2019,240,,,
528,KC19081216,10/22/2019,13A,U,U,
529,KC19081233,10/22/2019,,B,M,18.0
530,KC19081267,10/22/2019,90J,,,
531,KC19048818,06/30/2019,13A,B,F,19.0
532,KC19046908,06/23/2019,,W,M,50.0
533,KC19081751,10/24/2019,23C,,,
534,KC19081794,10/24/2019,,B,F,21.0
535,KC19082017,10/25/2019,,W,M,49.0
536,KC19082106,10/26/2019,,B,M,
537,KC19082154,10/26/2019,,W,M,32.0
538,KC19082204,10/26/2019,13A,B,F,29.0
539,KC19082230,10/26/2019,,W,M,32.0
540,KC19048662,06/30/2019,290,,,
541,KC19082336,10/27/2019,,W,M,49.0
542,KC19082561,10/27/2019,,W,M,37.0
543,KC19042516,06/07/2019,13C,,,
544,KC19049328,07/02/2019,13B,B,M,36.0
545,KC19083046,10/29/2019,,W,M,51.0
546,KC19046852,06/23/2019,35B,B,M,30.0
547,KC19083391,10/30/2019,,B,M,39.0
548,KC19048289,06/28/2019,,W,M,38.0
549,KC19083593,10/31/2019,,W,M,37.0
550,KC19083704,10/31/2019,13A,B,M,57.0
551,KC19040572,06/01/2019,35A,B,M,51.0
552,KC19083923,11/01/2019,,B,M,32.0
553,KC19052500,07/14/2019,13A,W,M,39.0
554,KC19084108,11/02/2019,,B,M,33.0
555,KC19044204,06/13/2019,290,W,M,53.0
556,KC19084249,11/02/2019,13B,W,F,67.0
557,KC19084332,11/03/2019,,,,
558,KC19084347,11/03/2019,13A,W,M,51.0
559,KC19084520,11/04/2019,,W,M,23.0
560,KC19044321,06/14/2019,,,U,
561,KC19084849,11/05/2019,,,,
562,KC19037546,05/21/2019,13A,W,M,
563,KC19085045,11/05/2019,,B,M,52.0
564,KC19085114,11/06/2019,23F,B,M,34.0
565,KC19085192,11/06/2019,,W,M,44.0
566,KC19085282,11/06/2019,,B,F,29.0
567,KC19085450,11/07/2019,,B,M,44.0
568,KC19085455,11/07/2019,90C,W,M,25.0
569,KC19085559,11/07/2019,220,,,
570,KC19085847,11/08/2019,,W,F,
571,KC19085913,11/08/2019,,W,F,34.0
